Figure 6 (bottom-left). Boxplot training energy. The results obtained regarding the energy on the training set.,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19
,,,,,,,,,,,,,,,,,,
GP,GA  3  Sum,GA  3  Vote,GA  5  Sum,GA  5  Vote,GA  7  Sum,GA  7  Vote,MGA  3  Sum,MGA  3  Vote ,MGA  5  Sum ,MGA  5  Vote ,MGA  7  Sum ,MGA  7  Vote ,SEC  3  Sum,SEC  3  Vote,SEC  5  Sum,SEC  5  Vote,SEC  7  Sum,SEC  7  Vote
53218.0320685846,53246.4548846428,53830.6186415478,53373.9990541497,53482.3989021467,53139.038045445,52594.0049709972,52925.7981904052,53274.9757385472,52563.9397355828,52640.1439429393,52547.7027701905,52618.229184904,53361.8989040149,53830.6186415478,52788.3975265921,52664.8793973674,53307.0007920568,53830.6186415478
51520.7228053097,53246.4548846428,53830.6186415478,53247.4606156409,52553.2058105385,53139.038045445,52908.8321411448,52932.6319455959,53179.5816626775,52848.8977882614,52727.2352495186,53115.968468072,52400.0474128926,53361.8989040149,53830.6186415478,53728.1735213596,52872.6317511104,53247.4606156409,51300.8378200305
57104.0205805314,53246.4548846428,53830.6186415478,53247.4606156409,53017.0677520017,53229.3350871946,52908.8321411448,52639.0453753963,52848.5762228237,52985.8682385744,52831.9942907975,53088.9040998734,52672.963363821,53246.4548846428,53830.6186415478,53533.0508970374,53830.6186415478,53176.4133656323,52880.2776413723
55889.7362944431,53246.4548846428,53830.6186415478,53373.9990541497,52249.8229862186,53293.5009414824,52721.4386573894,53015.5141919324,53198.9610552651,52957.6309101459,52638.1547841679,52779.3391758294,52282.6261435734,53246.4548846428,53830.6186415478,53666.9495345141,53830.6186415478,53441.1619153319,52832.8462756024
54620.1928512759,53246.4548846428,53830.6186415478,53373.9990541497,52616.4883018185,53139.038045445,52908.8321411448,52762.1770147972,53300.7453878115,52909.2132211614,52572.6726442224,53197.7079970903,52208.5430595466,53609.817025501,53830.6186415478,53480.4032865376,53830.6186415478,53377.7264415714,53739.5823419477
53830.6186415478,53246.4548846428,53830.6186415478,53247.4606156409,52793.8050088559,53246.7855324722,52148.2929179051,52679.799463416,53379.9254521989,53005.3240140171,52461.2247127487,53296.1600716744,52269.9058904859,53246.4548846428,53830.6186415478,53337.9695179237,52305.1936650627,53740.109739265,53830.6186415478
61139.2346621907,53246.4548846428,53830.6186415478,53247.4606156409,52867.9973284502,53139.038045445,52254.5811281507,52899.7619896806,53114.0410653813,53350.4505217232,53180.8273953141,52532.6055051939,52497.361373387,53246.4548846428,53830.6186415478,53316.8170807658,53124.0884732668,53715.8287772446,52333.2944852599
57735.5997475406,53246.4548846428,53830.6186415478,53247.4606156409,53017.0677520017,53139.038045445,52254.5811281507,52477.6616312244,52763.6829057995,52843.1334330696,51923.7025744517,52940.3093878038,52236.9593916648,53361.8989040149,53830.6186415478,53740.109739265,52423.9519458286,53709.7512221294,53550.4646589454
53235.4800113009,53246.4548846428,53830.6186415478,53247.4606156409,52867.9973284502,53247.4606156409,52456.6904958862,53136.6339844006,53431.0528221965,52854.2578875004,52609.6650203612,53125.7061445234,52321.8823788579,53246.4548846428,53830.6186415478,53373.9990541497,52853.8153688566,53415.8636728202,52575.8689702913
55352.6563786581,53246.4548846428,53830.6186415478,53373.9990541497,52281.6257688003,53139.038045445,52873.3918282292,52989.771724116,53304.4619506846,52940.0330915433,52658.0563044539,53007.7280899532,53114.1270592894,53246.4548846428,53830.6186415478,53740.109739265,53830.6186415478,53214.0583121466,53720.5952274946
