Figure 13 (top-right). Effectiveness of the local search operator.  Convergence in terms of the average percentage improvement achieved in the fitness of the initial ensemble after applying LSA.,Column_2,Column_3,Column_4,Column_5
,,,,
Time(min),S 5 5,V 5 5,S 20 20,V 20 20
70,0.0933787530922634,0.087777910071576,0.171948105120156,0.0839609669477658
71,0.0934782291873639,0.0879720481775762,0.171116899022851,0.0835906519131332
72,0.0936336922628662,0.0881980817705894,0.170186387692677,0.0831293556845528
73,0.0937283004815958,0.0880046001525813,0.169266225881648,0.0826454887839599
74,0.0936752038716724,0.0880727209500238,0.167940528608903,0.0820794474439308
75,0.0935440948993697,0.0881270880792797,0.167243964827109,0.0816160343006632
76,0.0938004099532887,0.0883067242191128,0.166457859098751,0.0810560392449118
77,0.0938098395735963,0.0883117845719042,0.165766493492995,0.0805364976714049
78,0.0938447945797466,0.0884119440846582,0.165009879380374,0.0800288818622593
79,0.0938987690144484,0.0886460161835997,0.164214555433555,0.0795122020637396
80,0.0939698388806006,0.088528461750289,0.163713693323794,0.079019786593703
81,0.0940406616017677,0.0884178004529443,0.163301698324663,0.0783757809390987
82,0.0941421930196261,0.0885105623651669,0.162573161627157,0.0779886947092303
83,0.0942061669789885,0.0885190818767093,0.161880745555796,0.0775918891315629
84,0.0944577893641417,0.0886089561549264,0.161720258985514,0.0771648922366341
85,0.0944783446625726,0.088502214665016,0.161036249256359,0.0767141145385241
86,0.0944609857675854,0.0887095723427947,0.160472650075966,0.0763319368143231
87,0.0945693917602582,0.088721537319679,0.160055657754323,0.0758758397840347
88,0.0946506411000178,0.0888934093075601,0.159548795965233,0.0755204912539009
89,0.0947062711127078,0.0888287402754612,0.158788535029593,0.075197022724224
90,0.094890644987987,0.0889256038885356,0.158292738854215,0.0749369047240362
91,0.0948079926328482,0.0889294015462753,0.157430150445234,0.074472740928786
92,0.0948203524619508,0.0888730309270175,0.156975576048871,0.0741790044983447
93,0.0947234053179183,0.0888209435655083,0.156759765548634,0.0738351189668724
94,0.094943882870899,0.0888910013688355,0.156376506840201,0.0734381602420521
95,0.0950212755260591,0.0890028955175825,0.155878546248753,0.0731252500504883
96,0.0951009832961839,0.0890041284162633,0.155305773874715,0.0727829090428866
97,0.0950748038137962,0.0890818683535793,0.154854939776602,0.0724128030176038
98,0.0950487470510008,0.0891212892903208,0.154292304893056,0.0719794817578809
99,0.0950285355544791,0.0889742469301437,0.153972400154113,0.0715610766835462
100,0.0950637221964378,0.0890868042690902,0.153257043192216,0.0712250040642738
101,0.0953115873193363,0.0890734314202974,0.152838249419196,0.070857284155598
102,0.0953362594486767,0.0890999945598181,0.152541528892496,0.0704890458607929
103,0.0952934833554583,0.0890989285290146,0.152334186459038,0.070180613476744
104,0.0951972084561481,0.0891854045248569,0.151734483026447,0.06986481110625439
105,0.0952261880625881,0.0892255309194522,0.151384417218469,0.0695132836004399
106,0.0952361880351782,0.0891935078538175,0.151094901748047,0.0691717956631277
107,0.0953466259003458,0.0891384100419048,0.150621325071953,0.0688466337655811
108,0.0952742604245131,0.0891455787422976,0.150218105382729,0.0685519742452002
109,0.0953422747102026,0.0890896286394623,0.149857768619506,0.068276157736434
110,0.0954153989638791,0.088950036359256,0.149408936962279,0.0678666125320392
111,0.095472070647435,0.0888292547832528,0.149113113099296,0.0676324784432438
112,0.0954596606385188,0.0888171925525429,0.148849575234042,0.0672640226742571
113,0.0955255679524151,0.0887317889794811,0.148403150816153,0.0669746047600772
114,0.0955897590564144,0.0887187455238942,0.148159418132472,0.0667057475910786
115,0.0956025786123016,0.0886736910245514,0.148042773077208,0.066418287757834
116,0.0955749235534337,0.0885922200983305,0.147689962814558,0.0661353671660349
117,0.0955917539002066,0.0885559713531407,0.147372752477929,0.0658743609458483
118,0.0956684942786698,0.0884535506895089,0.147140613786078,0.0655883222588751
119,0.0956671620186673,0.0884691382823965,0.147066796649431,0.0653504045078137
120,0.0956378027061299,0.0884118453432549,0.146705234485379,0.0651602718802521
121,0.0956230677621413,0.088424737253842,0.146346737746796,0.0650333888261332
122,0.0956402506340981,0.0882596862031366,0.146110102616837,0.0648002962770646
123,0.0956556051248959,0.0882105760390663,0.145693177381275,0.0646024054399019
124,0.0957394480862324,0.0881444061743169,0.145342026044781,0.0643199768468831
125,0.0958592061032077,0.0879997100557305,0.145025380385034,0.0641054251710201
126,0.0958947418717046,0.0879072778445928,0.144605466465153,0.0639564278817477
127,0.0960100790222251,0.087868166517156,0.144305727616607,0.0638083384943958
128,0.0959905278840369,0.0879592216127118,0.14399262653323,0.0636228124062174
129,0.0961653915806914,0.0879757197789213,0.143813420355499,0.0634133333791932
130,0.0961412511580152,0.087947961991951,0.143680908299206,0.0632099704598364
131,0.0961635439911656,0.0879500038963328,0.14353163099827,0.0630366108616864
132,0.0961476418178618,0.0878653477488098,0.143468544265131,0.0628768789159535
133,0.0962162415323038,0.0877849265368503,0.143191254204467,0.0626953197823783
134,0.0962290824190005,0.08768698248747,0.143037935263295,0.062509965305175
135,0.0963326575108164,0.0876454102787259,0.14282896120224,0.0623488144098201
136,0.0962553171440179,0.0875967650144235,0.14265426128313,0.0621925135343632
137,0.0961285508891604,0.0875558443389338,0.142477941027046,0.0619989308915453
138,0.0961436037791786,0.0874068806766943,0.142334026289241,0.0618284287732268
139,0.0960304198806552,0.0874062411899934,0.142116476983432,0.0616740016656615
140,0.0960253008603391,0.0873032576382251,0.141884982927066,0.0614855183533686
141,0.0959832596494396,0.0874286274049067,0.141701928752314,0.0613276111692478
142,0.0959451012337065,0.0874807198528698,0.141521812757616,0.0612168577781969
143,0.0961250579453786,0.0875405260704905,0.141352929342506,0.0610335884898809
144,0.0961977082109537,0.0875121055756613,0.141398306436254,0.060917573685226
145,0.0963170063815936,0.0874504911812405,0.141299690657592,0.0607029626609579
146,0.0963449253631981,0.0874669144838103,0.141186478250251,0.0605148515548598
147,0.0963519562160529,0.0873668527701609,0.141043988726331,0.0603426815475612
148,0.0964786552060878,0.0873494865452642,0.140916928784124,0.0602051757946815
