"Figure 10 (right). Evolution of the structural complexity of the RPs generated by GP and MGA, measured in terms of average RP depth. Results are averaged over 30 independent runs.",Column_2,Column_3,Column_4,Column_5,Column_6
,,,,,
Time_min,GP,S 5 5,S 20 20,V 5 5,V 20 20
223,8,6.722222222,6.833333333,6.944444444,7.422222222
224,8,6.711111111,6.844444444,6.944444444,7.433333333
225,8,6.7,6.833333333,6.944444444,7.422222222
226,8,6.7,6.833333333,6.944444444,7.422222222
227,8,6.711111111,6.833333333,6.944444444,7.411111111
228,8,6.711111111,6.822222222,6.944444444,7.411111111
229,7.966666667,6.733333333,6.833333333,6.944444444,7.433333333
230,7.966666667,6.744444444,6.8,7,7.444444444
231,7.966666667,6.744444444,6.788888889,6.988888889,7.444444444
232,7.966666667,6.744444444,6.8,7.055555556,7.444444444
233,7.966666667,6.744444444,6.733333333,7.055555556,7.422222222
234,7.966666667,6.744444444,6.755555556,7.055555556,7.388888889
235,7.966666667,6.755555556,6.755555556,7.044444444,7.388888889
236,7.966666667,6.755555556,6.766666667,7.055555556,7.366666667
237,7.966666667,6.744444444,6.777777778,7.055555556,7.366666667
238,7.966666667,6.755555556,6.8,7.055555556,7.4
239,7.966666667,6.755555556,6.822222222,7.055555556,7.422222222
240,7.966666667,6.755555556,6.877777778,7.055555556,7.422222222
241,7.966666667,6.755555556,6.877777778,7.055555556,7.422222222
242,7.966666667,6.755555556,6.877777778,7.055555556,7.422222222
243,7.966666667,6.733333333,6.844444444,7.066666667,7.388888889
244,7.966666667,6.733333333,6.844444444,7.055555556,7.411111111
245,7.966666667,6.733333333,6.811111111,7.055555556,7.411111111
246,7.966666667,6.733333333,6.811111111,7.066666667,7.4
247,7.966666667,6.733333333,6.811111111,7.077777778,7.422222222
248,7.966666667,6.733333333,6.788888889,7.1,7.422222222
249,7.966666667,6.766666667,6.788888889,7.1,7.411111111
250,7.966666667,6.766666667,6.811111111,7.1,7.388888889
251,7.966666667,6.766666667,6.844444444,7.1,7.388888889
252,7.966666667,6.777777778,6.844444444,7.1,7.388888889
253,7.966666667,6.788888889,6.8,7.066666667,7.433333333
254,7.966666667,6.788888889,6.8,7.055555556,7.444444444
255,7.966666667,6.788888889,6.855555556,7.077777778,7.411111111
256,7.966666667,6.788888889,6.855555556,7.066666667,7.433333333
257,7.966666667,6.788888889,6.833333333,7.088888889,7.422222222
258,7.966666667,6.811111111,6.855555556,7.088888889,7.5
259,7.966666667,6.811111111,6.844444444,7.088888889,7.488888889
260,7.966666667,6.788888889,6.822222222,7.077777778,7.5
261,7.966666667,6.788888889,6.822222222,7.077777778,7.522222222
262,7.966666667,6.811111111,6.766666667,7.077777778,7.522222222
263,7.966666667,6.811111111,6.788888889,7.077777778,7.522222222
264,7.966666667,6.811111111,6.788888889,7.077777778,7.511111111
265,7.966666667,6.788888889,6.8,7.066666667,7.511111111
266,7.966666667,6.788888889,6.833333333,7.066666667,7.444444444
267,7.966666667,6.777777778,6.844444444,7.077777778,7.444444444
268,7.966666667,6.777777778,6.844444444,7.077777778,7.444444444
269,7.966666667,6.777777778,6.833333333,7.077777778,7.444444444
270,7.966666667,6.777777778,6.833333333,7.077777778,7.444444444
271,7.966666667,6.777777778,6.833333333,7.077777778,7.444444444
272,7.966666667,6.777777778,6.844444444,7.077777778,7.455555556
273,7.966666667,6.777777778,6.822222222,7.1,7.522222222
274,7.966666667,6.777777778,6.822222222,7.1,7.522222222
275,7.966666667,6.777777778,6.877777778,7.1,7.522222222
276,7.966666667,6.8,6.866666667,7.1,7.522222222
277,7.966666667,6.8,6.888888889,7.1,7.522222222
278,7.966666667,6.8,6.922222222,7.1,7.511111111
279,7.966666667,6.811111111,6.911111111,7.1,7.477777778
280,7.966666667,6.833333333,6.922222222,7.1,7.477777778
281,7.966666667,6.822222222,6.922222222,7.1,7.477777778
282,7.966666667,6.822222222,6.922222222,7.1,7.455555556
283,7.966666667,6.822222222,6.855555556,7.1,7.455555556
284,7.966666667,6.833333333,6.844444444,7.088888889,7.455555556
285,7.966666667,6.833333333,6.811111111,7.088888889,7.5
286,8,6.833333333,6.811111111,7.088888889,7.5
287,8,6.833333333,6.811111111,7.088888889,7.5
288,8,6.833333333,6.788888889,7.111111111,7.511111111
289,8,6.833333333,6.8,7.1,7.544444444
290,8,6.833333333,6.8,7.077777778,7.544444444
291,8,6.833333333,6.777777778,7.088888889,7.544444444
292,8,6.811111111,6.811111111,7.088888889,7.544444444
293,8,6.811111111,6.811111111,7.055555556,7.533333333
294,8,6.822222222,6.811111111,7.066666667,7.522222222
295,8,6.822222222,6.888888889,7.1,7.522222222
296,8,6.822222222,6.9,7.088888889,7.522222222
297,8,6.822222222,6.888888889,7.088888889,7.522222222
298,8,6.822222222,6.9,7.088888889,7.522222222
299,8,6.822222222,6.877777778,7.088888889,7.522222222
300,8,6.822222222,6.866666667,7.088888889,7.522222222
301,8,6.822222222,6.855555556,7.088888889,7.555555556
302,8,6.822222222,6.877777778,7.088888889,7.566666667
303,8,6.833333333,6.877777778,7.088888889,7.566666667
304,8,6.833333333,6.933333333,7.077777778,7.533333333
305,8,6.833333333,6.933333333,7.077777778,7.533333333
306,8,6.855555556,6.9,7.077777778,7.555555556
307,8,6.855555556,6.866666667,7.077777778,7.555555556
308,8,6.866666667,6.855555556,7.077777778,7.555555556
309,8,6.866666667,6.866666667,7.077777778,7.544444444
310,8,6.866666667,6.888888889,7.077777778,7.544444444
311,8,6.855555556,6.855555556,7.077777778,7.544444444
312,8,6.855555556,6.833333333,7.088888889,7.566666667
313,8,6.855555556,6.844444444,7.088888889,7.566666667
314,8,6.855555556,6.844444444,7.077777778,7.566666667
315,8,6.855555556,6.844444444,7.088888889,7.566666667
316,8,6.855555556,6.844444444,7.088888889,7.566666667
317,8,6.855555556,6.844444444,7.088888889,7.566666667
318,8,6.855555556,6.822222222,7.077777778,7.544444444
319,8,6.855555556,6.822222222,7.077777778,7.588888889
320,8,6.855555556,6.822222222,7.088888889,7.588888889
321,8,6.855555556,6.833333333,7.088888889,7.588888889
322,8,6.855555556,6.833333333,7.088888889,7.588888889
323,8,6.855555556,6.877777778,7.088888889,7.577777778
324,8,6.855555556,6.866666667,7.088888889,7.577777778
325,8,6.855555556,6.866666667,7.088888889,7.577777778
326,8,6.855555556,6.877777778,7.088888889,7.577777778
327,8,6.855555556,6.955555556,7.1,7.577777778
328,8,6.855555556,6.966666667,7.088888889,7.544444444
329,8,6.866666667,6.977777778,7.088888889,7.544444444
330,8,6.855555556,6.977777778,7.088888889,7.544444444
331,8,6.866666667,6.977777778,7.088888889,7.544444444
332,8,6.877777778,7.011111111,7.088888889,7.544444444
333,8,6.877777778,6.977777778,7.088888889,7.544444444
334,8,6.877777778,6.977777778,7.088888889,7.544444444
335,8,6.877777778,6.955555556,7.088888889,7.544444444
336,8,6.877777778,6.955555556,7.088888889,7.544444444
337,8,6.877777778,6.955555556,7.088888889,7.544444444
338,8,6.888888889,6.966666667,7.088888889,7.544444444
339,8,6.888888889,6.977777778,7.088888889,7.555555556
340,8,6.888888889,6.966666667,7.111111111,7.555555556
341,8,6.888888889,6.966666667,7.111111111,7.544444444
342,8,6.888888889,6.966666667,7.133333333,7.544444444
343,8,6.888888889,6.988888889,7.133333333,7.544444444
344,8,6.888888889,6.977777778,7.133333333,7.544444444
345,8,6.888888889,7.022222222,7.133333333,7.544444444
346,8,6.9,7.033333333,7.133333333,7.544444444
347,8,6.9,7.033333333,7.133333333,7.555555556
348,8,6.9,7.033333333,7.133333333,7.533333333
349,8,6.9,7.033333333,7.133333333,7.522222222
350,8,6.9,7.011111111,7.133333333,7.522222222
351,8,6.9,7.011111111,7.133333333,7.544444444
352,8,6.9,7.011111111,7.133333333,7.544444444
353,8,6.9,7.022222222,7.133333333,7.533333333
354,8,6.9,7,7.133333333,7.533333333
355,8,6.9,7.055555556,7.155555556,7.544444444
356,8,6.9,7.055555556,7.155555556,7.544444444
357,8,6.9,7.044444444,7.188888889,7.555555556
358,8,6.9,7.033333333,7.188888889,7.555555556
359,8,6.9,7.033333333,7.2,7.555555556
360,8,6.9,7.033333333,7.2,7.555555556
361,8,6.9,7.044444444,7.2,7.555555556
362,8,6.9,7.044444444,7.2,7.555555556
363,8,6.9,7.044444444,7.2,7.544444444
364,8,6.911111111,7.044444444,7.2,7.555555556
365,8,6.911111111,7.044444444,7.2,7.555555556
366,8,6.922222222,7.044444444,7.2,7.555555556
367,8,6.944444444,7.044444444,7.211111111,7.555555556
368,8,6.911111111,7.066666667,7.211111111,7.555555556
369,8,6.922222222,7.066666667,7.211111111,7.566666667
370,8,6.922222222,7.066666667,7.211111111,7.566666667
371,8,6.922222222,7.066666667,7.211111111,7.566666667
372,8,6.922222222,7.077777778,7.211111111,7.566666667
373,8,6.922222222,7.077777778,7.211111111,7.566666667
374,8,6.944444444,7.111111111,7.211111111,7.566666667
375,8,6.944444444,7.111111111,7.211111111,7.566666667
376,8,6.944444444,7.122222222,7.211111111,7.544444444
377,8,6.944444444,7.122222222,7.211111111,7.544444444
378,8,6.944444444,7.122222222,7.2,7.544444444
379,8,6.955555556,7.122222222,7.2,7.544444444
380,8,6.955555556,7.111111111,7.2,7.544444444
381,8,6.955555556,7.111111111,7.2,7.544444444
382,8,6.955555556,7.122222222,7.2,7.544444444
383,8,6.955555556,7.122222222,7.2,7.544444444
384,8,6.955555556,7.122222222,7.211111111,7.544444444
385,8,6.955555556,7.133333333,7.222222222,7.566666667
386,8,6.955555556,7.122222222,7.222222222,7.566666667
387,8,6.955555556,7.122222222,7.222222222,7.577777778
388,8,6.955555556,7.133333333,7.222222222,7.577777778
389,8,6.955555556,7.133333333,7.222222222,7.588888889
390,8,6.955555556,7.133333333,7.233333333,7.588888889
391,8,6.955555556,7.133333333,7.233333333,7.588888889
392,8,6.955555556,7.133333333,7.233333333,7.588888889
393,8,6.955555556,7.122222222,7.233333333,7.6
394,8,6.955555556,7.133333333,7.233333333,7.6
395,8,6.955555556,7.133333333,7.233333333,7.611111111
396,8,6.955555556,7.144444444,7.233333333,7.611111111
397,8,6.955555556,7.144444444,7.233333333,7.611111111
398,8,6.955555556,7.144444444,7.233333333,7.611111111
399,8,6.955555556,7.133333333,7.233333333,7.622222222
400,8,6.955555556,7.133333333,7.244444444,7.622222222
401,8,6.966666667,7.133333333,7.244444444,7.633333333
402,8,6.966666667,7.133333333,7.244444444,7.633333333
403,8,6.966666667,7.122222222,7.244444444,7.633333333
404,8,6.966666667,7.122222222,7.233333333,7.633333333
405,8,6.966666667,7.122222222,7.233333333,7.633333333
406,8,6.966666667,7.122222222,7.233333333,7.633333333
407,8,6.966666667,7.122222222,7.233333333,7.633333333
408,8,6.966666667,7.144444444,7.233333333,7.622222222
409,8,6.966666667,7.144444444,7.233333333,7.622222222
410,8,6.977777778,7.177777778,7.233333333,7.622222222
411,8,6.977777778,7.177777778,7.233333333,7.622222222
412,8,6.977777778,7.177777778,7.233333333,7.622222222
413,8,6.977777778,7.177777778,7.233333333,7.611111111
414,8,6.977777778,7.188888889,7.233333333,7.644444444
415,8,6.977777778,7.188888889,7.233333333,7.644444444
416,8,6.977777778,7.211111111,7.233333333,7.644444444
417,8,6.977777778,7.211111111,7.233333333,7.644444444
418,8,6.977777778,7.211111111,7.233333333,7.644444444
419,8,6.977777778,7.211111111,7.222222222,7.644444444
420,8,6.977777778,7.2,7.222222222,7.655555556
421,8,6.977777778,7.211111111,7.233333333,7.655555556
422,8,6.977777778,7.211111111,7.233333333,7.644444444
423,8,6.977777778,7.211111111,7.244444444,7.644444444
424,8,6.977777778,7.211111111,7.244444444,7.644444444
425,8,6.977777778,7.211111111,7.244444444,7.644444444
426,8,6.944444444,7.2,7.244444444,7.666666667
427,8,6.944444444,7.2,7.244444444,7.666666667
428,8,6.944444444,7.188888889,7.244444444,7.666666667
429,8,6.988888889,7.188888889,7.244444444,7.666666667
430,8,6.988888889,7.188888889,7.244444444,7.666666667
431,8,6.988888889,7.188888889,7.244444444,7.644444444
432,8,6.988888889,7.188888889,7.244444444,7.633333333
433,8,6.955555556,7.211111111,7.244444444,7.633333333
434,8,6.955555556,7.211111111,7.244444444,7.644444444
435,8,6.955555556,7.211111111,7.244444444,7.644444444
436,8,6.955555556,7.211111111,7.244444444,7.644444444
437,8,6.966666667,7.177777778,7.244444444,7.644444444
438,8,6.966666667,7.177777778,7.244444444,7.644444444
439,8,6.966666667,7.188888889,7.244444444,7.644444444
440,8,6.966666667,7.133333333,7.244444444,7.644444444
441,8,6.966666667,7.144444444,7.244444444,7.644444444
442,8,6.966666667,7.144444444,7.244444444,7.644444444
443,8,6.966666667,7.166666667,7.244444444,7.633333333
444,8,6.966666667,7.166666667,7.244444444,7.633333333
445,8,6.966666667,7.166666667,7.244444444,7.633333333
446,8,6.966666667,7.188888889,7.244444444,7.633333333
447,8,6.977777778,7.177777778,7.244444444,7.622222222
448,8,6.977777778,7.177777778,7.255555556,7.633333333
449,8,6.977777778,7.211111111,7.255555556,7.633333333
450,8,6.977777778,7.211111111,7.266666667,7.633333333
451,8,6.977777778,7.211111111,7.266666667,7.633333333
452,8,6.977777778,7.211111111,7.266666667,7.633333333
453,8,6.977777778,7.211111111,7.266666667,7.633333333
454,8,6.977777778,7.211111111,7.266666667,7.611111111
455,8,6.977777778,7.222222222,7.288888889,7.611111111
456,8,6.977777778,7.222222222,7.288888889,7.611111111
457,8,6.977777778,7.233333333,7.288888889,7.622222222
458,8,6.977777778,7.233333333,7.288888889,7.622222222
459,8,6.977777778,7.211111111,7.288888889,7.566666667
460,8,6.977777778,7.211111111,7.288888889,7.566666667
461,8,6.977777778,7.2,7.288888889,7.566666667
462,8,6.977777778,7.2,7.288888889,7.566666667
463,8,6.977777778,7.188888889,7.288888889,7.566666667
464,8,6.977777778,7.188888889,7.288888889,7.555555556
465,8,6.977777778,7.177777778,7.288888889,7.566666667
