Figure 13 (top-left). Effectiveness of the local search operator.  Convergence in terms of the average percentage of applications in which the local search operator successfully enhances the initial ensemble.,Column_2,Column_3,Column_4,Column_5
,,,,
Time(min),S 5 5,V 5 5,S 20 20,V 20 20
166,0.370084053744918,0.259170928624705,0.683587406421544,0.621928347802046
167,0.370024346635419,0.259279952155075,0.682774036018176,0.621190378692476
168,0.369998917055757,0.259215737534394,0.68178509281042,0.620241645662536
169,0.370027809895652,0.259249978061954,0.681091904768399,0.619451618346041
170,0.369888106335964,0.259208429550407,0.680494895598399,0.618803362156169
171,0.369914975012323,0.259225889457984,0.679773159928916,0.617847771432666
172,0.369817393700055,0.259144638297526,0.678996457957215,0.617354938643765
173,0.369849992088367,0.259027086640777,0.678043845155502,0.616617456507521
174,0.369723429113618,0.258922954107639,0.677477923857147,0.61609489792231
175,0.369647200160545,0.259068713331774,0.676843895465382,0.615471953303514
176,0.369244757504506,0.259066359491594,0.675585493941109,0.614931452543241
177,0.369193659805939,0.259215793192007,0.675128122155555,0.614314416368742
178,0.368883803348325,0.259130039618811,0.674617073088213,0.613452749514738
179,0.368679862361553,0.25920988111461,0.673668919647571,0.612922079377867
180,0.368590093814228,0.259098030840218,0.67283470179326,0.612202887678949
181,0.368191866938013,0.259021035773821,0.672138644468471,0.611543089942543
182,0.368163793837922,0.258819291134856,0.671626522308641,0.610810933926292
183,0.368094630535289,0.258718567240998,0.67091172147285,0.610089440379838
184,0.367819695994978,0.258730701772816,0.670227743311558,0.609741913886028
185,0.367752688805193,0.258668483726758,0.669868612593767,0.609078141071817
186,0.367455269224741,0.258582291625428,0.669380020498757,0.608537418148636
187,0.367372525736138,0.258497362529635,0.668646952623757,0.607961833449106
188,0.367210294587075,0.258517726596021,0.668208309474334,0.607666144907263
189,0.367306408835123,0.258361421091522,0.667628644878098,0.607070310922438
190,0.367102093037453,0.258351535549966,0.667028593692995,0.606281058226608
191,0.367096496626085,0.258339505469268,0.666642384439592,0.60565164937574
192,0.366971366241032,0.258171886531879,0.666019510599902,0.604934158960545
193,0.367045829093426,0.258117644706688,0.66561061865073,0.604415312912959
194,0.366915816079751,0.258023789216562,0.6649429801867,0.603792475509894
195,0.366739660047025,0.258056737362606,0.664195137548918,0.603425264816227
196,0.366637895603824,0.258092699255827,0.663664931536192,0.602741417257348
197,0.366383776500594,0.258013519527252,0.662999208838832,0.602104497649928
198,0.366421847926028,0.258030556875372,0.662866571483049,0.601508392273546
199,0.366333798427146,0.258073775759698,0.662236630748062,0.600908948846596
200,0.366115017049901,0.25802800773197,0.66156597623624,0.600292604838809
201,0.366031167682905,0.258142215317111,0.661467097946398,0.599875985214946
202,0.365791753658916,0.257968887766764,0.660939603903874,0.599360917779454
203,0.365645806383593,0.257967578807615,0.660219841172982,0.598840057220209
204,0.365608916191609,0.25791511463484,0.659372880909192,0.598565180536857
205,0.365603752278281,0.257810105637425,0.658741529289977,0.597750407136458
