Figure 13 (bottom-left). Effectiveness of the local search operator.  Convergence in terms of the average percentage of individual RPs that are different from the initial ensemble.,Column_2,Column_3,Column_4,Column_5
,,,,
Time(min),S 5 5,V 5 5,S 20 20,V 20 20
206,0.511544008123407,0.448645204641721,0.606200937521267,0.54389675479735
207,0.511599809382205,0.448805493171941,0.606265682389693,0.543859775025957
208,0.511771244271282,0.448881665918203,0.606314651214384,0.543661577773132
209,0.511926929892318,0.448917059421652,0.606428501623567,0.543633170343761
210,0.511890022960376,0.449045376078317,0.606506817052071,0.543412181956104
211,0.511919745922223,0.449089941820097,0.606698274854477,0.543360770876134
212,0.511981523096893,0.449154157905144,0.606847636210318,0.543317249507431
213,0.512031798166547,0.449338369008007,0.606926489166272,0.543331622324368
214,0.512180998717561,0.449522252404839,0.606844506146464,0.543196988187158
215,0.512143602424341,0.449708482342242,0.6070938158486,0.542940520911648
216,0.512267599536864,0.44989883800333,0.607048797369731,0.542916409723775
217,0.51232493513639,0.449986331424644,0.606929882207222,0.542869842333728
218,0.512479966786629,0.450053760634739,0.607059660540081,0.54258429639791
219,0.512532091858908,0.450171167488728,0.607077367940447,0.542539837671727
220,0.512687204234627,0.450275138905013,0.607299495271524,0.542412548242963
221,0.512799244011139,0.450410187586821,0.607258550604124,0.542335170927814
222,0.51289071064426,0.450568578841018,0.607365062989525,0.542243993507722
223,0.51299743066658,0.450729723198352,0.607454604112469,0.542140278031561
224,0.513033455338177,0.450793745845089,0.607629753096477,0.54200626736386
225,0.513054621121431,0.450859815862974,0.607740273173289,0.542028897343211
226,0.513186209592675,0.450911547192358,0.607730093838096,0.54204784158259
227,0.513341536425495,0.451144888791625,0.60762305473014,0.541866270353374
228,0.51337404163795,0.451325389682832,0.607737033929601,0.541703658274825
229,0.513485385333287,0.451286216808366,0.607872336268624,0.541608363352116
230,0.513673003711461,0.451411158426351,0.607809208414913,0.541634966984115
231,0.513820173660411,0.451497771380179,0.60779803522829,0.541670720255881
232,0.513869743219518,0.451516248031202,0.607917328727242,0.541627128144978
233,0.513970362039866,0.451610192573718,0.607868056153891,0.541607140800561
234,0.514109739061354,0.451635117352794,0.607954452351413,0.541504528352783
235,0.51421548322401,0.451713532024995,0.608075365100106,0.54145690348471
236,0.514254310822152,0.451771547325555,0.608161513266559,0.541322720228803
237,0.514269036408961,0.451883227736264,0.608170939875895,0.541162625919577
238,0.514466279603961,0.452006310733959,0.608182876523983,0.541107022219323
239,0.514494549457984,0.452017836821428,0.608502174633861,0.541109308371549
240,0.51452507001325,0.452147274723952,0.608478176893648,0.540984676234175
241,0.514566841197276,0.452239175969042,0.608500421192021,0.540774385737769
242,0.514808413141555,0.452297327467408,0.608495800852899,0.540648962493435
243,0.51493810064764,0.452351467076638,0.608575352294754,0.540548013190204
244,0.515095026848609,0.452491001235309,0.608623311295242,0.540480753055192
245,0.515257191859037,0.452612240533935,0.608721959690641,0.540567539311844
246,0.515301755760376,0.452652747872253,0.608803003378588,0.540522117332339
247,0.515388793835512,0.452793986909526,0.608837494950202,0.540479470757912
248,0.515616876409799,0.452954708711679,0.608925128910134,0.540355102758624
249,0.515707650636615,0.453015991345217,0.608976227438656,0.54038959134701
250,0.515788823302543,0.453061435024243,0.609067082412162,0.540369481102611
251,0.515850659460743,0.453200311331374,0.609193909711762,0.540357640175411
252,0.515826309556095,0.453296864514806,0.609126224372332,0.540335781631512
253,0.515826403347585,0.453301399930677,0.609315214775115,0.540300283194028
254,0.515936578566448,0.453437888544218,0.609461144548877,0.540291582996641
255,0.516007620803231,0.453571278121849,0.609632938077913,0.540245759687152
256,0.516119752269008,0.453689668331407,0.609700889916718,0.540216014442114
257,0.516237515266703,0.453736941827741,0.609761813470592,0.540169214319647
258,0.516299719946972,0.453802673317364,0.609849785206115,0.540157910816846
259,0.516291700335441,0.453879640565747,0.609835174634563,0.540123403453891
260,0.516319662173087,0.454039770309368,0.609861760215419,0.540152243522596
261,0.516474088532226,0.454083986161104,0.610039800816361,0.540144742308288
262,0.516495756176417,0.454129255500379,0.610126180031504,0.540063269831132
263,0.516488997294575,0.454188257148586,0.610148447068529,0.539938499697931
264,0.516561202403196,0.45422674776838,0.610153913066225,0.539941617757482
265,0.516761285467969,0.454453805652555,0.610229448570188,0.539975700727833
266,0.516740783054616,0.454497466820303,0.610226241814563,0.539879077776981
267,0.516799471075631,0.454587779500328,0.610265258820679,0.539910521621286
268,0.516893168381358,0.454624869267436,0.610290718074096,0.539865963578923
269,0.517073132649626,0.454689958729712,0.610224284259988,0.539784682595345
270,0.517140937245242,0.454747087781632,0.610447487119558,0.539833582819394
271,0.517222865365316,0.454878310947762,0.610547164325363,0.539750054540865
272,0.517237013996592,0.454906126270463,0.610696259422043,0.539782918722377
273,0.517442665719669,0.454901848161258,0.610782657646327,0.539770014740275
274,0.517586202836712,0.45502386874926,0.610819468802049,0.539796629135001
