"Figure 10 (left). Evolution of the structural complexity of the RPs generated by GP and MGA, measured in terms of average RP size. Results are averaged over 30 independent runs.",Column_2,Column_3,Column_4,Column_5,Column_6
,,,,,
Time_min,GP,S 5 5,S 20 20,V 5 5,V 20 20
424,63.03333333,28.57777778,24.97777778,27.48888889,31.3
425,63.03333333,28.6,25.1,27.48888889,31.38888889
426,63.03333333,28.56666667,25.18888889,27.51111111,31.37777778
427,63.16666667,28.56666667,25.03333333,27.51111111,31.37777778
428,63.16666667,28.56666667,25,27.53333333,31.37777778
429,63.16666667,28.65555556,25,27.55555556,31.32222222
430,63.16666667,28.65555556,25,27.55555556,31.32222222
431,63.16666667,28.65555556,25.04444444,27.58888889,31.36666667
432,63.23333333,28.65555556,25.04444444,27.58888889,31.35555556
433,63.23333333,28.57777778,25.12222222,27.56666667,31.37777778
434,63.23333333,28.57777778,25.12222222,27.54444444,31.52222222
435,63.1,28.57777778,25.12222222,27.55555556,31.52222222
436,63.1,28.57777778,25.12222222,27.51111111,31.52222222
437,63.1,28.64444444,25.08888889,27.51111111,31.48888889
438,63.1,28.64444444,25.08888889,27.51111111,31.46666667
439,63.9,28.66666667,25.24444444,27.5,31.47777778
440,63.83333333,28.68888889,25.08888889,27.47777778,31.51111111
441,63.83333333,28.68888889,25.11111111,27.51111111,31.51111111
442,63.56666667,28.7,25.04444444,27.53333333,31.53333333
443,63.56666667,28.7,25.05555556,27.53333333,31.53333333
444,63.83333333,28.72222222,25.05555556,27.53333333,31.6
445,63.7,28.72222222,25.03333333,27.53333333,31.57777778
