Time(min),S 5 5,V 5 5,S 20 20,V 20 20
319,1.81708318125219,1.4900195445148,3.13947338821844,2.46422824064579
320,1.81712368921526,1.49021698233958,3.13827186893235,2.46331551227038
321,1.81744502096355,1.49043276185606,3.13721904460452,2.46204000205652
322,1.81751575102652,1.49051594498987,3.13620377287084,2.46148689961181
323,1.81770716732994,1.49082195552593,3.13524163909233,2.45967287365538
324,1.81770957828739,1.49103888188545,3.13538007715074,2.45936974302079
325,1.81794149443638,1.49121475155266,3.13463107792779,2.45803441934261
326,1.81784915504276,1.4914933775413,3.13429854705925,2.45698194831423
327,1.81785493924047,1.49174807332315,3.13370135208371,2.45618281693146
328,1.81782968922252,1.49194650121267,3.13328331194836,2.45570176301738
329,1.8182118366056,1.49214213502625,3.13164453366303,2.45540097509884
330,1.81848557266038,1.49254004916504,3.13158388703035,2.45467491412488
331,1.81930621174746,1.49281279745477,3.13144683222501,2.45420230599357
332,1.81939345531148,1.49304645888349,3.13112684496215,2.45349722380814
333,1.81938982914674,1.49288782846338,3.12953116058619,2.45260490067358
334,1.81960218740559,1.49325496487572,3.12772585180271,2.45159009083248
335,1.81968325616556,1.49337856488693,3.12702522184153,2.45084791275493
336,1.81970815234284,1.4934481075496,3.12658765225339,2.45017556247431
337,1.81975638817807,1.49368369316879,3.12561827463724,2.44960660027287
338,1.81948825278241,1.49391919679223,3.12450117202609,2.44888726892198
339,1.81957072560801,1.49419228526663,3.12380944737978,2.44780008367678
340,1.81978116543309,1.4943626679166,3.1229626167408,2.44666156116875
341,1.82008927439047,1.49441812349365,3.12202214593863,2.44639864445016
342,1.82012589206694,1.49463279027955,3.12123599916023,2.44492901970918
343,1.82028557831734,1.49464012252069,3.12082595399225,2.44375855177825
344,1.82028983150473,1.49471690483975,3.11860333325455,2.44347343146713
345,1.82070720342199,1.49486232293372,3.11880610474628,2.44243787859322
346,1.82086719570193,1.49528147251058,3.1172828487566,2.44165811827002
347,1.82123115085109,1.49566284783851,3.11686968702592,2.44120601016825
348,1.82140308438448,1.49566501893067,3.11557352779149,2.44043687249736
349,1.82184656028392,1.49604026355149,3.11520565890897,2.43936926381594
350,1.821707788379,1.49630594707667,3.11464331219427,2.43838472532088
351,1.82197754735786,1.49649840636326,3.11438055689363,2.43777238159483
352,1.82209634884452,1.4966571666745,3.1137974925051,2.43714611975471
353,1.8222638704006,1.49700889068999,3.11234906828813,2.43650261202584
354,1.82233891892032,1.49743863121235,3.11175365890385,2.43638402562285
355,1.82281939825381,1.49767215311101,3.11138649534365,2.43517004092104
356,1.82284512143142,1.49771888717936,3.1106766025434,2.43469883719254
357,1.82314042533615,1.49773792723639,3.11030555294166,2.43443083384545
358,1.82349025741124,1.49798540639386,3.11021150664479,2.43348223960696
359,1.82371872935269,1.49797214924044,3.11056044706459,2.4327364027375
360,1.82399803523886,1.4983084214711,3.11047157726523,2.43167179930385
361,1.82408133347503,1.49862770252864,3.10917630005981,2.43137009237356
362,1.82435386237988,1.49877169571143,3.10858624052495,2.4306672968309
363,1.82432756399453,1.49912251990247,3.10774421855994,2.43010105019746
364,1.82458612071831,1.49940725427371,3.10710759980222,2.42899919096085
365,1.82463585259233,1.49964484298066,3.1064671577227,2.42782688459781
