Time(min),GP,S 5 5,V 5 5,S 20 20,V 20 20
549,58041.1279782087,55718.7425271388,66301.6203161003,53731.7404395292,55408.9382291624
550,58037.2075027093,55717.28646708,66293.2393090658,53731.7404395292,55404.888576265
551,58037.2075027093,55717.28646708,66291.1900156168,53731.7404395292,55404.0665935395
552,58037.2075027093,55715.9164864653,66291.3251222462,53730.1221566177,55390.9032435207
553,58036.8302265952,55715.9164864653,66290.8497136609,53727.2054187593,55382.6713602849
554,58034.2803136101,55714.0802914545,66298.4844047849,53722.9478186421,55392.7555039254
555,58038.7999351724,55713.1783694043,66298.5446438373,53729.1027494747,55390.32758239
556,58038.7999351724,55713.1264780511,66298.5446438373,53728.1003416675,55388.0237747918
557,58034.5620913523,55713.1264780511,66298.1190876203,53725.688065433,55394.6585319121
558,58034.5620913523,55712.9122020347,66296.9487597565,53725.688065433,55391.9653299799
559,58034.5620913523,55712.5872186971,66296.9146879715,53724.6742338081,55396.9848072713
560,58034.5620913523,55712.4818161857,66296.9146879715,53723.7172315492,55396.9848072713
561,58031.2166956959,55712.4818161857,66296.7786031001,53726.6130438313,55395.1693454162
562,58031.2166956959,55712.3166591653,66296.7786031001,53721.7396227763,55395.1693454162
563,58031.2166956959,55708.1215547011,66295.2583214974,53720.9781010387,55391.758693039
564,58031.2166956959,55708.9019264874,66295.2583214974,53720.9781010387,55397.4114353836
565,58031.2166956959,55708.166267089,66295.2583214974,53720.9781010387,55397.4114353836
566,58024.1961274798,55708.0439600805,66295.2583214974,53720.9781010387,55397.4114353836
567,58021.4510678792,55706.3600014953,66293.2845763016,53720.9781010387,55397.4114353836
568,58018.2905463697,55706.3600014953,66293.2845763016,53720.9781010387,55396.5214276219
569,58016.7996288443,55704.3575629308,66290.2213747683,53720.9781010387,55395.8145065782
570,58011.1679673398,55693.2727493429,66290.2213747683,53720.3888820803,55395.8145065782
571,58011.1679673398,55693.2727493429,66290.2213747683,53717.0991068765,55395.8145065782
572,58011.1679673398,55693.2727493429,66288.6433175261,53717.0991068765,55389.9886296278
573,58005.0648647232,55693.2727493429,66288.6433175261,53716.3076173883,55388.994077002
574,58014.2207058741,55693.2727493429,66288.6433175261,53716.3076173883,55388.994077002
575,58014.2207058741,55687.9758193715,66288.6433175261,53706.0948317644,55387.6263083355
576,58014.2207058741,55687.9758193715,66288.6433175261,53705.1427754998,55373.6774468348
577,58014.2207058741,55687.9758193715,66288.6395353903,53706.1701008323,55376.5659219334
578,58014.1827716102,55681.4676619004,66290.8568552077,53706.1701008323,55376.4045558521
579,58014.1827716102,55680.1026677688,66290.8051614338,53702.5878517832,55376.4045558521
580,58014.1827716102,55680.1026677688,66279.7829990378,53697.4479343723,55376.4045558521
581,58014.1827716102,55680.1026677688,66273.6481934711,53695.1478977058,55375.5337718282
582,57997.9665561037,55680.4888156654,66273.6481934711,53694.9336117571,55368.8948438475
583,57997.9665561037,55680.4888156654,66273.6481934711,53708.2053120075,55358.0542947543
584,57997.9665561037,55682.8691381849,66273.6481934711,53708.2053120075,55358.0441846971
585,57994.2551643498,55681.7943383588,66274.1122458222,53704.6378015782,55358.0441846971
586,57994.2551643498,55681.6312745356,66274.1122458222,53704.5692147303,55348.7741538255
587,57994.2551643498,55670.5005757331,66273.6376113746,53703.2847414055,55348.7741538255
588,58032.9044066677,55668.9631436138,66273.6376113746,53702.323289864,55348.7741538255
589,58032.9044066677,55668.779707318,66272.2028114155,53695.8559401469,55332.0211134154
590,58032.9044066677,55668.779707318,66290.1920391124,53695.8559401469,55296.4335600186
591,58032.9044066677,55669.0479413956,66281.8095395278,53694.8530077408,55292.7541301734
592,58031.3947985677,55668.4117332399,66281.8095395278,53690.2632419831,55292.7541301734
593,58027.63851141,55640.533549015,66281.8095395278,53698.6961671901,55291.9321474479
594,58026.7232281707,55640.533549015,66281.8095395278,53693.3900608852,55291.9321474479
595,58026.7232281707,55640.1431423849,66280.3904048694,53693.3314529527,55291.9321474479
596,58023.6132412489,55661.3595183478,66280.3904048694,53690.7899833098,55297.9978024389
597,58023.6132412489,55659.6936080725,66286.1170215416,53690.7899833098,55293.6982499421
598,58023.6132412489,55610.1775273135,66286.1170215416,53690.7899833098,55298.1237502228
599,58023.6132412489,55610.1775273135,66286.1170215416,53690.7899833098,55298.1237502228
600,58023.6132412489,55612.4648958215,66282.067970502,53687.8986260827,55300.2200463446
601,58023.6132412489,55606.5163037419,66282.067970502,53686.608258399,55301.8682364229
602,58023.6132412489,55580.2758349769,66282.067970502,53690.4962297855,55276.6123078408
603,58022.6640667108,55564.7024435268,66282.067970502,53688.6398184358,55273.9943807694
604,58019.699158018,55495.0170915053,66283.0360833884,53694.6440932941,55275.7289715064
605,58019.699158018,55495.0170915053,66283.0360833884,53692.7010292318,55268.3211317456
606,58020.6071626547,55470.523904612,66283.0360833884,53692.7010292318,55267.6799064813
607,58020.6071626547,55468.3868282139,66282.3664912379,53688.4926404756,55308.922773393
608,58020.6071626547,55444.3284645124,66282.3664912379,53688.2425915969,55308.922773393
609,58020.209914201,55444.3284645124,66282.3664912379,53688.2425915969,55308.922773393
610,58020.209914201,55447.634016533,66282.3664912379,53688.2425915969,55302.230621695
611,58019.478735706,55421.7116717195,66282.3664912379,53685.0129941765,55299.486962736
612,58019.478735706,55431.5520736125,66282.0768507118,53678.3908117748,55298.5650506824
613,58019.478735706,55431.5520736125,66281.8042292389,53678.3908117748,55298.0414852299
614,58019.478735706,55430.0622548425,66281.8042292389,53678.1327028642,55298.0414852299
615,58019.478735706,55430.0622548425,66271.896127744,53677.715372251,55298.0414852299
616,58019.478735706,55430.0622548425,66271.6037738389,53673.9775166575,55297.3282430043
617,58019.478735706,55423.9352732028,66266.6849674522,53673.7349928044,55297.3181329471
618,58019.478735706,55406.1841805117,66276.973334213,53673.7349928044,55253.5277625475
619,58018.1658257965,55405.94882219,66276.973334213,53673.7349928044,55253.5277625475
620,58018.1658257965,55405.94882219,66276.973334213,53673.7066047227,55251.1614436666
621,58018.1658257965,55405.4967122612,66247.0327549723,53673.7066047227,55250.9642494888
622,58007.4680741104,55402.8011065323,66247.0327549723,53672.0297914302,55251.9077896388
623,58006.8995298036,55411.17903969,66229.9200465601,53672.0297914302,55252.8604778034
624,58009.2799125082,55405.2821237709,66228.6204685271,53672.0297914302,55252.2918068076
625,58009.2799125082,55405.2821237709,66228.6204685271,53668.0412212729,55287.4685769237
626,58009.2799125082,55403.5319365201,66228.6204685271,53660.2610362357,55287.4685769237
627,58009.2799125082,55398.0754935753,66228.6204685271,53660.2610362357,55287.4685769237
628,58008.3621473047,55393.4898291034,66230.3761047439,53659.6862752936,55285.4982637417
629,58008.3621473047,55394.5608474712,66230.1765057967,53659.567655592,55285.4982637417
630,58008.3621473047,55394.5608474712,66228.9226197904,53659.1314898627,55285.1326082494
631,58008.3621473047,55379.8826268983,66228.9226197904,53659.1314898627,55298.7581166743
632,58008.3621473047,55365.5699533376,66232.4159894214,53659.1314898627,55298.7581166743
633,58008.3621473047,55365.5699533376,66231.2197667699,53659.1314898627,55282.6666681917
634,58008.3621473047,55364.5225847209,66231.2197667699,53659.1314898627,55280.8670290096
635,58007.6017137225,55356.4914739042,66229.6173873173,53659.1314898627,55280.7051303015
636,58007.6017137225,55345.4911078971,66228.4259523341,53656.0375554464,55280.7051303015
637,58007.6017137225,55342.886451462,66228.4259523341,53655.1459790032,55280.1353721446
638,58007.6017137225,55342.0542401152,66228.4259523341,53654.8975797107,55279.8029667783
639,58007.4105247944,55342.0542401152,66225.0204815903,53656.9523248218,55281.0562261561
640,58007.0493905635,55342.0542401152,66222.446115541,53648.3414412338,55268.6855898708
641,58007.0493905635,55360.6802782257,66222.446115541,53648.3414412338,55266.0563572539
642,58005.5423424497,55359.2765878386,66220.54661295,53648.3414412338,55265.9339037757
643,58005.5423424497,55358.119543645,66222.7313679504,53645.0714865805,55260.5834494017
644,58005.5423424497,55357.7735770316,66222.7313679504,53642.30854457,55260.1952752466
645,57998.4870323266,55356.8290990845,66222.7003802152,53642.30854457,55257.3643708256
646,57997.8960835647,55354.4198611736,66221.8333207289,53642.30854457,55257.3578261346
647,57997.8960835647,55350.4854792224,66221.6422008591,53642.30854457,55307.1364396694
648,57997.8960835647,55344.5309158688,66221.6422008591,53655.2015871047,55312.4925390229
649,57997.8960835647,55341.0884119398,66220.6625345522,53655.2015871047,55312.4040458812
650,57997.8960835647,55325.9946223289,66220.6625345522,53654.9773780881,55309.7261255477
651,58007.4244125141,55318.143210643,66219.4601720066,53654.9773780881,55309.7261255477
652,58007.4244125141,55396.1335776734,66219.4601720066,53654.9773780881,55304.4020526681
653,58007.4244125141,55401.6144904658,66219.4601720066,53654.9773780881,55301.3800356337
654,58007.4244125141,55401.6144904658,66220.7701804039,53654.9065609048,55301.3800356337
655,58007.3260977719,55401.6144904658,66207.2819207171,53654.9065609048,55301.3800356337
656,58010.4250178754,55397.3817221444,66206.7782485446,53652.1963663564,55306.4685639901
