Column_1,SEC,Column_3,Column_4,Column_5,Column_6,Column_7,GA,Column_9,Column_10,Column_11,Column_12,Column_13,MGA,Column_15,Column_16,Column_17,Column_18,Column_19
Time(min),3  Sum SEC,3  Vote SEC,5  Sum SEC,5  Vote SEC,7  Sum SEC,7  Vote SEC,3  Sum GA,3  Vote GA,5  Sum GA,5  Vote GA,7  Sum GA,7  Vote GA,3  Sum MGA,3  Vote  MGA,5  Sum MGA,5  Vote MGA,7  Sum MGA,7  Vote MGA
64,395,397,395.133333333333,396.833333333333,396.566666666666,400,395,397,392.2,392.233333333333,391.733333333333,388.5,389.9,391.4,390.133333333333,389.2,390.2,388.433333333333
65,395,397,395.133333333333,396.833333333333,396.566666666666,400,395,397,392.2,392.233333333333,391.733333333333,388.5,389.9,391.366666666666,390,389.033333333333,390.2,388.433333333333
66,395,397,395.066666666666,396.833333333333,396.566666666666,400,395,397,392.2,392.233333333333,391.7,388.5,389.9,391.366666666666,390,388.933333333333,390.1,388.4
67,395,397,395.066666666666,396.766666666666,396.566666666666,400,395,397,392.2,392.233333333333,391.7,388.5,389.9,391.366666666666,390,388.833333333333,390.1,388.4
68,395,397,395.033333333333,396.766666666666,396.566666666666,400,395,397,392.2,392.233333333333,391.7,388.5,389.9,391.3,389.866666666666,388.833333333333,390.1,388.366666666666
69,395,397,395.033333333333,396.766666666666,396.566666666666,400,395,397,392.2,392.233333333333,391.7,388.5,389.9,391.3,389.8,388.733333333333,390.066666666666,388.333333333333
70,395,397,395.033333333333,396.766666666666,396.466666666666,400,395,397,392.2,392.2,391.7,388.5,389.9,391.266666666666,389.733333333333,388.733333333333,390.066666666666,388.266666666666
71,395,397,395.033333333333,396.733333333333,396.466666666666,400,395,397,392.2,392.2,391.7,388.466666666666,389.866666666666,391.266666666666,389.7,388.733333333333,390.066666666666,388.2
72,395,397,395.033333333333,396.733333333333,396.466666666666,399.966666666666,395,397,392.2,392.2,391.7,388.466666666666,389.866666666666,391.233333333333,389.7,388.7,390.033333333333,388.166666666666
73,395,397,395.033333333333,396.733333333333,396.466666666666,399.8,395,397,392.2,392.2,391.7,388.4,389.866666666666,391.2,389.633333333333,388.666666666666,390,388.166666666666
74,395,397,395.033333333333,396.666666666666,396.466666666666,399.8,395,397,392.2,392.2,391.666666666666,388.366666666666,389.866666666666,391.166666666666,389.6,388.666666666666,390,388.133333333333
75,395,397,395.033333333333,396.666666666666,396.466666666666,399.8,395,397,392.2,392.2,391.666666666666,388.366666666666,389.866666666666,391.166666666666,389.566666666666,388.666666666666,389.966666666666,388.1
76,395,397,395.033333333333,396.666666666666,396.466666666666,399.8,395,397,392.2,392.2,391.666666666666,388.366666666666,389.866666666666,391.166666666666,389.533333333333,388.633333333333,389.966666666666,388.033333333333
77,395,397,395.033333333333,396.666666666666,396.466666666666,399.8,395,397,392.2,392.2,391.666666666666,388.366666666666,389.866666666666,391.1,389.533333333333,388.6,389.966666666666,388
78,395,397,395,396.666666666666,396.466666666666,399.8,395,397,392.2,392.2,391.666666666666,388.333333333333,389.833333333333,391.066666666666,389.533333333333,388.5,389.933333333333,388
