Time(min),GP,S 5 5,V 5 5,S 20 20,V 20 20
315,473.133333333333,456.833333333333,575.966666666666,423.266666666666,481.066666666666
316,473.066666666666,456.766666666666,575.966666666666,423.266666666666,481.066666666666
317,472.9,456.766666666666,575.966666666666,423.266666666666,481.033333333333
318,472.9,456.666666666666,575.933333333333,423.2,480.866666666666
319,472.9,456.666666666666,575.866666666666,423.2,480.766666666666
320,472.9,456.666666666666,575.766666666666,423.2,480.733333333333
321,472.9,456.666666666666,575.733333333333,423.2,480.466666666666
322,472.9,456.666666666666,575.733333333333,423.133333333333,480.366666666666
323,472.9,456.666666666666,575.666666666666,423.033333333333,480.333333333333
324,472.9,456.2,575.666666666666,423,480.233333333333
325,472.9,456.133333333333,575.666666666666,422.966666666666,480.233333333333
326,472.666666666666,456.066666666666,575.633333333333,422.933333333333,480.233333333333
327,472.666666666666,456.066666666666,575.5,422.9,480.1
328,472.666666666666,456.033333333333,575.5,422.866666666666,479.866666666666
329,472.566666666666,456.033333333333,575.466666666666,422.866666666666,479.866666666666
330,472.533333333333,456.033333333333,575.466666666666,422.866666666666,479.866666666666
331,472.533333333333,456,575.466666666666,422.866666666666,479.833333333333
332,472.533333333333,455.9,575.433333333333,422.7,479.833333333333
333,472.4,455.866666666666,575.433333333333,422.7,479.833333333333
334,472.333333333333,455.833333333333,575.366666666666,422.633333333333,479.766666666666
335,472.333333333333,455.8,575.3,422.6,479.766666666666
336,472.333333333333,455.733333333333,575.3,422.6,479.766666666666
337,472.266666666666,455.566666666666,575.3,422.6,479.766666666666
338,472.233333333333,455.466666666666,575.3,422.566666666666,479.7
339,472.233333333333,455.433333333333,575.3,422.566666666666,479.333333333333
340,472.233333333333,455.433333333333,575.266666666666,422.566666666666,479.333333333333
341,472.233333333333,455.4,575.233333333333,422.5,479.066666666666
342,472.133333333333,455.333333333333,575.2,422.466666666666,479.066666666666
343,472.133333333333,455.333333333333,575.166666666666,422.4,479.033333333333
344,472.133333333333,455.233333333333,575.166666666666,422.366666666666,479.033333333333
345,472.133333333333,455.2,575.166666666666,422.333333333333,479
346,472.133333333333,455.2,575.166666666666,422.266666666666,478.966666666666
347,472.066666666666,455.2,575.133333333333,422.266666666666,478.933333333333
348,472,455.2,575,422.2,478.933333333333
349,471.966666666666,455.2,574.933333333333,422.166666666666,478.866666666666
350,471.966666666666,455.2,574.933333333333,422.133333333333,478.833333333333
351,471.966666666666,455.2,574.866666666666,422.133333333333,478.8
352,471.666666666666,455.066666666666,574.833333333333,422.133333333333,478.766666666666
353,471.4,455.066666666666,574.8,422.133333333333,478.733333333333
354,471.366666666666,455.066666666666,574.8,422.1,478.666666666666
355,471.333333333333,455.066666666666,574.533333333333,422.066666666666,478.666666666666
356,471.333333333333,455.066666666666,574.5,422.066666666666,478.633333333333
357,471.3,455,574.4,422.066666666666,478.6
358,471.3,455,574.3,422,478.566666666666
359,471.133333333333,455,574.266666666666,422,478.533333333333
360,471.133333333333,455,574.233333333333,422,478.533333333333
361,471.133333333333,454.966666666666,574.2,421.866666666666,478.433333333333
362,471.133333333333,454.966666666666,574.2,421.866666666666,478.433333333333
363,471.133333333333,454.966666666666,574.2,421.866666666666,478.4
364,471.133333333333,454.866666666666,574.2,421.833333333333,478.4
365,471.133333333333,454.833333333333,574.2,421.833333333333,478.3
366,471.133333333333,454.833333333333,574.166666666666,421.8,478.266666666666
367,470.933333333333,454.8,574.1,421.633333333333,478.166666666666
368,470.933333333333,454.733333333333,574.1,421.633333333333,477.933333333333
369,470.933333333333,454.666666666666,574.1,421.533333333333,477.866666666666
370,470.933333333333,454.666666666666,574.1,421.533333333333,477.866666666666
371,470.8,454.666666666666,574.1,421.533333333333,477.833333333333
372,470.8,454.666666666666,574.033333333333,421.5,477.833333333333
373,470.8,454.666666666666,574,421.466666666666,477.8
374,470.8,454.6,574,421.433333333333,477.8
375,470.766666666666,454.6,574,421.433333333333,477.2
376,470.766666666666,454.6,573.866666666666,421.433333333333,477.133333333333
377,470.766666666666,454.566666666666,573.833333333333,421.433333333333,477.133333333333
378,470.766666666666,454.566666666666,573.8,421.433333333333,477.1
379,470.666666666666,454.5,573.8,421.433333333333,477.033333333333
380,470.666666666666,454.5,573.8,421.366666666666,477.033333333333
381,470.666666666666,454.433333333333,573.733333333333,421.366666666666,476.933333333333
382,470.633333333333,454.433333333333,573.733333333333,421.2,476.9
383,470.6,454.433333333333,573.666666666666,421.2,476.833333333333
384,470.6,454.4,573.633333333333,421.2,476.8
385,470.433333333333,454.4,573.633333333333,421.166666666666,476.733333333333
386,470.4,454.4,573.6,421.133333333333,476.733333333333
387,470.4,454.366666666666,573.6,421.133333333333,476.733333333333
388,470.4,454.366666666666,573.6,421.066666666666,476.7
389,470.4,454.366666666666,573.6,421,476.7
390,470.233333333333,454.333333333333,573.6,421,476.7
391,470.233333333333,454.333333333333,573.566666666666,420.966666666666,476.7
392,470.233333333333,454.3,573.566666666666,420.966666666666,476.6
393,470.133333333333,454.3,573.566666666666,420.9,476.533333333333
394,470.133333333333,454.3,573.566666666666,420.9,476.4
395,470.133333333333,454.3,573.566666666666,420.9,476.333333333333
396,470.133333333333,454.3,573.566666666666,420.9,476.3
397,470.1,454.233333333333,573.566666666666,420.9,476.266666666666
398,470,454.233333333333,573.566666666666,420.866666666666,476.266666666666
399,470,454.233333333333,573.566666666666,420.833333333333,476.1
400,470,454.233333333333,573.533333333333,420.8,475.866666666666
401,470,454.2,573.533333333333,420.8,475.866666666666
402,470,454.166666666666,573.466666666666,420.8,475.766666666666
403,469.966666666666,454.166666666666,573.333333333333,420.7,475.766666666666
404,469.9,454.133333333333,573.3,420.7,475.766666666666
405,469.9,454.1,573.233333333333,420.7,475.766666666666
406,469.9,454.1,573.233333333333,420.7,475.633333333333
407,469.866666666666,454.1,573.233333333333,420.666666666666,475.566666666666
408,469.866666666666,454.1,573.233333333333,420.6,475.533333333333
409,469.866666666666,454.1,573.233333333333,420.6,475.533333333333
410,469.866666666666,454.1,573.233333333333,420.5,475.5
411,469.866666666666,454.066666666666,573.233333333333,420.5,475.5
412,469.866666666666,454.066666666666,573.2,420.5,475.5
413,469.866666666666,454.066666666666,573.2,420.5,475.466666666666
414,469.866666666666,454,573.2,420.5,475.433333333333
415,469.866666666666,454,573.066666666666,420.5,475.433333333333
416,469.866666666666,453.933333333333,573.066666666666,420.466666666666,475.433333333333
417,469.866666666666,453.933333333333,573.033333333333,420.466666666666,475.366666666666
418,469.866666666666,453.933333333333,573.033333333333,420.433333333333,475.333333333333
419,469.866666666666,453.933333333333,573.033333333333,420.4,475.333333333333
420,469.866666666666,453.933333333333,573.033333333333,420.4,475.266666666666
421,469.666666666666,453.933333333333,573,420.3,475.233333333333
422,469.666666666666,453.933333333333,572.966666666666,420.3,475.2
423,469.633333333333,453.933333333333,572.866666666666,420.3,475.166666666666
424,469.6,453.933333333333,572.866666666666,420.3,475.166666666666
425,469.6,453.9,572.866666666666,420.266666666666,475.066666666666
426,469.6,453.866666666666,572.866666666666,420.266666666666,475.033333333333
427,469.6,453.866666666666,572.866666666666,420.2,475.033333333333
428,469.6,453.866666666666,572.833333333333,420.1,475.033333333333
429,469.6,453.833333333333,572.8,420.1,475
430,469.6,453.833333333333,572.8,420.1,474.966666666666
431,469.6,453.833333333333,572.766666666666,420.1,474.866666666666
432,469.6,453.8,572.766666666666,420.1,474.8
433,469.6,453.8,572.633333333333,420.1,474.766666666666
434,469.6,453.8,572.633333333333,420.066666666666,474.766666666666
435,469.6,453.8,572.633333333333,420,474.766666666666
436,469.6,453.7,572.633333333333,420,474.766666666666
437,469.533333333333,453.6,572.633333333333,419.966666666666,474.766666666666
438,469.5,453.6,572.633333333333,419.966666666666,474.733333333333
439,469.5,453.6,572.6,419.966666666666,474.666666666666
440,469.5,453.5,572.6,419.9,474.666666666666
441,469.466666666666,453.5,572.566666666666,419.9,474.666666666666
442,469.433333333333,453.466666666666,572.566666666666,419.9,474.633333333333
443,469.433333333333,453.466666666666,572.566666666666,419.866666666666,474.6
444,469.433333333333,453.466666666666,572.566666666666,419.866666666666,474.6
445,469.433333333333,453.466666666666,572.466666666666,419.833333333333,474.566666666666
446,469.433333333333,453.466666666666,572.466666666666,419.733333333333,474.566666666666
447,469.433333333333,453.433333333333,572.466666666666,419.733333333333,474.433333333333
