Column_1,SEC,Column_3,Column_4,Column_5,Column_6,Column_7,GA,Column_9,Column_10,Column_11,Column_12,Column_13,MGA,Column_15,Column_16,Column_17,Column_18,Column_19
Time(min),3  Sum SEC,3  Vote SEC,5  Sum SEC,5  Vote SEC,7  Sum SEC,7  Vote SEC,3  Sum GA,3  Vote GA,5  Sum GA,5  Vote GA,7  Sum GA,7  Vote GA,3  Sum MGA,3  Vote  MGA,5  Sum MGA,5  Vote MGA,7  Sum MGA,7  Vote MGA
54,53446.0227413329,53830.6186415478,53445.7003919228,53184.3756722679,53460.2414799464,52971.5257592825,53258.5669560047,53830.6186415478,53322.1826942053,52892.9444446471,53209.5223437915,52706.3154163105,53027.2646326683,53271.1241899345,53002.1385076857,52685.4968550027,53151.5148621886,52730.5555844562
55,53446.0227413329,53830.6186415478,53445.7003919228,53235.5293861978,53460.2414799464,52971.5257592825,53258.5669560047,53830.6186415478,53322.1826942053,52892.9444446471,53209.5223437915,52706.3154163105,53011.7972346101,53263.344036111,53000.3659783424,52679.5448068373,53148.7288073992,52730.5555844562
56,53444.1183243658,53830.6186415478,53445.7003919228,53249.4120043299,53460.2414799464,52962.1638293949,53258.5669560047,53830.6186415478,53322.1826942053,52892.9444446471,53209.5223437915,52702.225646179,53008.9363815722,53259.3448087178,53000.2053862426,52674.5770729997,53145.5500937866,52743.8528779254
57,53427.6631625451,53830.6186415478,53434.1053146523,53249.4120043299,53459.7350836899,52962.1638293949,53258.5669560047,53830.6186415478,53322.1826942053,52924.9887888354,53209.4998410192,52702.225646179,52993.2172358448,53250.5529319729,52999.7880179026,52674.4602006919,53148.1809276942,52728.4027666969
58,53427.6631625451,53830.6186415478,53437.5118827639,53249.4120043299,53459.7350836899,52962.1638293949,53258.5669560047,53830.6186415478,53322.1826942053,52909.5267241199,53209.4998410192,52702.225646179,52990.3702829519,53247.7150033229,53014.8119583727,52673.4161348483,53145.1267815474,52710.9450637687
59,53425.2244890534,53830.6186415478,53437.5118827639,53249.4120043299,53465.2137675122,52936.8133819769,53258.5669560047,53830.6186415478,53322.1826942053,52909.5267241199,53209.4998410192,52677.1455030539,52989.7318564765,53243.5812327481,53009.7336271642,52680.0344894539,53143.5197893626,52698.0682620121
60,53425.2244890534,53830.6186415478,53438.628717859,53221.2869276779,53465.2137675122,52936.8133819769,53258.5669560047,53830.6186415478,53322.1826942053,52909.5267241199,53207.4207548785,52663.5399473554,52988.3221356466,53232.816939518,53002.7373174703,52679.1235786442,53143.5197893626,52687.0235073583
61,53425.2244890534,53830.6186415478,53438.628717859,53221.2869276779,53465.2137675122,52936.8133819769,53258.5669560047,53830.6186415478,53322.1826942053,52904.9707538946,53207.4207548785,52663.5399473554,52996.6631063579,53230.9245462346,53012.335688052,52678.7838426783,53140.1647697757,52699.4517848808
62,53425.2244890534,53830.6186415478,53450.1969320422,53221.2869276779,53465.2137675122,52936.8133819769,53258.5669560047,53830.6186415478,53322.1826942053,52904.9707538946,53207.3982521063,52648.8840936829,52994.6023232314,53227.6099315653,53011.904517602,52671.4180108624,53129.985464494,52697.8924400259
63,53425.2244890534,53830.6186415478,53446.2497553984,53249.1517903316,53469.3231293065,52936.8133819769,53258.5669560047,53830.6186415478,53322.1826942053,52904.9707538946,53207.3982521063,52653.8332695756,52993.8147031291,53209.8361294408,53013.8455206368,52677.2598241989,53128.7619646214,52694.8231245843
