Ablation study,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24
Number of Vehicles,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Training,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
A Shapiro test is performed to check whether the samples follow a normal distribution.,,,,,,,,,,,,,,,,,,,,,,,
,Method,Shapiro p-value,,,,,,,,,,,,,,,,,,,,,
,3 5 5 V,3 20 5 V,3 5 20 V,3 20 20 V,5 5 5 V,5 20 5 V,5 5 20 V,5 20 20 V,7 5 5 V,7 20 5 V,7 5 20 V,7 20 20 V,3 5 5 S,3 20 5 S,3 5 20 S,3 20 20 S,5 5 5 S,5 20 5 S,5 5 20 S,5 20 20 S,7 5 5 S,7 20 5 S,7 5 20 S
3 20 5 V,large,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
3 5 20 V,large,small,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
3 20 20 V,large,negligible,negligible,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
5 5 5 V,large,negligible,negligible,negligible,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
5 20 5 V,large,negligible,small,negligible,negligible,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
5 5 20 V,large,small,medium,medium,small,small,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
5 20 20 V,medium,large,large,large,large,large,large,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
7 5 5 V,large,small,medium,medium,small,small,negligible,large,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
7 20 5 V,large,small,negligible,negligible,small,small,medium,large,medium,84,84,84,84,84,84,84,84,84,84,84,84,84,84
7 5 20 V,large,medium,large,large,medium,medium,negligible,large,negligible,large,84,84,84,84,84,84,84,84,84,84,84,84,84
7 20 20 V,large,large,large,large,large,large,large,small,large,large,large,84,84,84,84,84,84,84,84,84,84,84,84
3 5 5 S,medium,medium,small,small,medium,large,large,large,large,small,large,large,84,84,84,84,84,84,84,84,84,84,84
3 20 5 S,large,medium,large,large,medium,medium,small,large,small,large,negligible,large,large,84,84,84,84,84,84,84,84,84,84
3 5 20 S,large,medium,large,large,medium,large,negligible,large,negligible,large,negligible,large,large,negligible,84,84,84,84,84,84,84,84,84
3 20 20 S,large,small,medium,medium,small,medium,negligible,large,negligible,medium,small,large,large,small,small,84,84,84,84,84,84,84,84
5 5 5 S,large,small,small,small,small,medium,large,large,large,negligible,large,large,small,large,large,large,84,84,84,84,84,84,84
5 20 5 S,large,negligible,small,negligible,negligible,negligible,medium,large,medium,negligible,large,large,large,large,large,medium,medium,84,84,84,84,84,84
5 5 20 S,large,small,large,medium,small,medium,negligible,large,negligible,medium,small,large,large,small,small,negligible,large,medium,84,84,84,84,84
5 20 20 S,medium,large,medium,medium,large,large,large,large,large,medium,large,large,negligible,large,large,large,small,large,large,84,84,84,84
7 5 5 S,medium,medium,medium,medium,large,large,large,large,large,small,large,large,negligible,large,large,large,small,large,large,negligible,84,84,84
7 20 5 S,small,large,large,large,large,large,large,large,large,medium,large,large,small,large,large,large,medium,large,large,negligible,negligible,84,84
7 5 20 S,large,medium,small,small,medium,large,large,large,large,small,large,large,negligible,large,large,large,negligible,large,large,negligible,negligible,small,84
7 20 20 S,small,large,large,large,large,large,large,small,large,large,large,large,large,large,large,large,large,large,large,large,large,large,large
,,,,,,,,,,,,,,,,,,,,,,,
Confidence Intervals for the median ,,,,,,,,,,,,,,,,,,,,,,,
Confidence intervals for the median were computed to provide an estimate of the uncertainty associated with the central tendency of each group.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Method,Median,CI95_Lower,CI95_Upper,,,,,,,,,,,,,,,,,,,,
3 5 5 V,391,390,391,,,,,,,,,,,,,,,,,,,,
3 20 5 V,388,387.5,389,,,,,,,,,,,,,,,,,,,,
3 5 20 V,389,388,389,,,,,,,,,,,,,,,,,,,,
3 20 20 V,388.5,388,389,,,,,,,,,,,,,,,,,,,,
5 5 5 V,388,387.5,389,,,,,,,,,,,,,,,,,,,,
5 20 5 V,388,388,389,,,,,,,,,,,,,,,,,,,,
5 5 20 V,387,387,387.5,,,,,,,,,,,,,,,,,,,,
5 20 20 V,392,391,394,,,,,,,,,,,,,,,,,,,,
7 5 5 V,387,387,388,,,,,,,,,,,,,,,,,,,,
7 20 5 V,388.5,388,389,,,,,,,,,,,,,,,,,,,,
7 5 20 V,387,386,388,,,,,,,,,,,,,,,,,,,,
7 20 20 V,393.5,393,395,,,,,,,,,,,,,,,,,,,,
3 5 5 S,390,389,390,,,,,,,,,,,,,,,,,,,,
3 20 5 S,387,386,387,,,,,,,,,,,,,,,,,,,,
3 5 20 S,387,387,387,,,,,,,,,,,,,,,,,,,,
3 20 20 S,387,387,388,,,,,,,,,,,,,,,,,,,,
5 5 5 S,389,388.5,390,,,,,,,,,,,,,,,,,,,,
5 20 5 S,388,388,389,,,,,,,,,,,,,,,,,,,,
5 5 20 S,387,387,388,,,,,,,,,,,,,,,,,,,,
5 20 20 S,389.5,389,390,,,,,,,,,,,,,,,,,,,,
7 5 5 S,389.5,389,390.5,,,,,,,,,,,,,,,,,,,,
7 20 5 S,390,389,390,,,,,,,,,,,,,,,,,,,,
7 5 20 S,389,389,390,,,,,,,,,,,,,,,,,,,,
7 20 20 S,391.5,391,392,,,,,,,,,,,,,,,,,,,,
