Ablation study,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24
Energy Consumption,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Training,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
A Shapiro test is performed to check whether the samples follow a normal distribution.,,,,,,,,,,,,,,,,,,,,,,,
,Method,Shapiro p-value,,,,,,,,,,,,,,,,,,,,,
7 20 5 V,large,small,medium,medium,small,negligible,small,medium,negligible,84,84,84,84,84,84,84,84,84,84,84,84,84,84
7 5 20 V,large,medium,large,large,negligible,small,negligible,large,negligible,negligible,84,84,84,84,84,84,84,84,84,84,84,84,84
7 20 20 V,small,negligible,negligible,negligible,medium,small,medium,small,medium,small,medium,84,84,84,84,84,84,84,84,84,84,84,84
3 5 5 S,medium,small,negligible,negligible,large,medium,large,small,large,medium,large,negligible,84,84,84,84,84,84,84,84,84,84,84
3 20 5 S,large,small,medium,medium,small,negligible,small,large,small,negligible,small,small,medium,84,84,84,84,84,84,84,84,84,84
3 5 20 S,large,small,medium,medium,medium,negligible,small,large,small,negligible,small,small,large,negligible,84,84,84,84,84,84,84,84,84
3 20 20 S,large,negligible,small,small,large,small,medium,medium,medium,small,medium,negligible,small,small,small,84,84,84,84,84,84,84,84
5 5 5 S,medium,small,negligible,negligible,large,medium,large,small,large,medium,large,negligible,negligible,large,large,small,84,84,84,84,84,84,84
5 20 5 S,large,negligible,small,negligible,large,small,large,medium,large,small,large,negligible,small,small,medium,negligible,small,84,84,84,84,84,84
5 5 20 S,large,negligible,medium,small,large,negligible,medium,medium,medium,small,medium,small,medium,small,small,negligible,medium,small,84,84,84,84,84
5 20 20 S,medium,small,negligible,negligible,large,medium,large,small,large,medium,large,negligible,negligible,large,large,small,negligible,small,medium,84,84,84,84
7 5 5 S,small,medium,small,small,large,large,large,negligible,large,large,large,small,medium,large,large,medium,medium,large,large,small,84,84,84
7 20 5 S,small,medium,negligible,small,large,medium,large,negligible,large,large,large,negligible,small,large,large,medium,small,medium,large,small,negligible,84,84
7 5 20 S,medium,small,negligible,negligible,large,medium,large,small,large,medium,large,negligible,negligible,medium,large,small,negligible,small,medium,negligible,small,small,84
7 20 20 S,small,small,negligible,negligible,large,medium,large,negligible,large,medium,large,negligible,negligible,medium,medium,small,negligible,small,medium,negligible,negligible,negligible,negligible
,,,,,,,,,,,,,,,,,,,,,,,
Confidence Intervals for the median ,,,,,,,,,,,,,,,,,,,,,,,
Confidence intervals for the median were computed to provide an estimate of the uncertainty associated with the central tendency of each group.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Method,Median,CI95_Lower,CI95_Upper,,,,,,,,,,,,,,,,,,,,
3 5 5 V,53204.90962708385,52991.8506524602,53266.6229198518,,,,,,,,,,,,,,,,,,,,
3 20 5 V,52767.66510804615,52664.2533978279,52901.0668764407,,,,,,,,,,,,,,,,,,,,
3 5 20 V,52961.5835334563,52738.129145856146,53118.927560663156,,,,,,,,,,,,,,,,,,,,
3 20 20 V,52873.1139645565,52783.64058973965,53000.43906745765,,,,,,,,,,,,,,,,,,,,
5 5 5 V,52582.9206620003,52417.8748602422,52649.1001236966,,,,,,,,,,,,,,,,,,,,
5 20 5 V,52757.66353016215,52599.7864308527,52843.2236054023,,,,,,,,,,,,,,,,,,,,
5 5 20 V,52593.5885333902,52360.24717070155,52788.7112579281,,,,,,,,,,,,,,,,,,,,
5 20 20 V,53049.53065939655,52876.5506713035,53220.1364990134,,,,,,,,,,,,,,,,,,,,
7 5 5 V,52627.974524084304,52448.7043931398,52740.5485544005,,,,,,,,,,,,,,,,,,,,
7 20 5 V,52678.4543099943,52568.31567328275,52789.449245833704,,,,,,,,,,,,,,,,,,,,
7 5 20 V,52653.540323429654,52439.3473456573,52769.55855556225,,,,,,,,,,,,,,,,,,,,
7 20 20 V,52853.8011357188,52665.359884041,53208.97726478035,,,,,,,,,,,,,,,,,,,,
3 5 5 S,52930.42092497015,52835.56830673555,52989.66659310895,,,,,,,,,,,,,,,,,,,,
3 20 5 S,52704.263380812845,52594.095892485246,52807.5723005505,,,,,,,,,,,,,,,,,,,,
3 5 20 S,52673.924157826244,52628.40740845765,52760.4532630482,,,,,,,,,,,,,,,,,,,,
3 20 20 S,52827.459577983755,52746.0477731266,52935.6724046576,,,,,,,,,,,,,,,,,,,,
5 5 5 S,52929.63978713675,52851.5778378809,53003.7823950647,,,,,,,,,,,,,,,,,,,,
5 20 5 S,52859.2663028686,52793.28225640655,52906.95495767355,,,,,,,,,,,,,,,,,,,,
5 5 20 S,52797.992743793046,52711.256622524845,52865.95516593005,,,,,,,,,,,,,,,,,,,,
5 20 20 S,52952.336331217346,52849.974884858704,53039.30489345595,,,,,,,,,,,,,,,,,,,,
7 5 5 S,53102.4362839727,52950.99347871865,53125.7061445234,,,,,,,,,,,,,,,,,,,,
7 20 5 S,52997.812888858796,52927.8860531483,53103.2005128225,,,,,,,,,,,,,,,,,,,,
7 5 20 S,52950.7541256813,52813.71500227845,53061.853886667246,,,,,,,,,,,,,,,,,,,,
7 20 20 S,53036.683175123646,52766.78619643285,53164.4547684684,,,,,,,,,,,,,,,,,,,,
